# Truth table
# Exported on Fri Jun 23 19:26:15 PDT 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

opcode[7..0] | NOP ADD SUB MUL DIV MODx NOTx ANDx ORx XORx EQ NEQ GTE LTE GT LT JMP JMPi JMPT JMPTi SET COPY LOAD LOADi STR STRi PUSH POP
  11001100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11001101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11001110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11001111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11010111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11011111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11100111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11101111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11110111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111000   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111001   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111010   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111011   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111100   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111101   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111110   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
  11111111   |  X   X   X   X   X   X    X    X    X   X   X   X   X   X  X  X   X   X    X     X    X   X    X     X    X   X    X    X 
